# Baba Desktop Business Brain OS v9 — ULTIMATE MERGED EDITION
# Install all:  pip install -r requirements.txt

# ── Core ────────────────────────────────────────────────────────────────
httpx>=0.27.0           # Async HTTP for all provider API calls
websockets>=12.0        # PC Bridge WebSocket server/client
aiofiles>=23.2.0        # Async file operations

# ── API Server ──────────────────────────────────────────────────────────
fastapi>=0.110.0        # REST API server
uvicorn>=0.29.0         # ASGI server for FastAPI

# ── File handling / OCR / Documents ─────────────────────────────────────
pillow>=10.0.0          # Image processing
pytesseract>=0.3.10     # OCR for screen/document text extraction
pypdf2>=3.0.0           # PDF reading
python-docx>=1.0.0      # Word document reading
openpyxl>=3.1.0         # Excel file read/write

# ── PC Control ─────────────────────────────────────────────────────────
pyautogui>=0.9.54       # Mouse, keyboard, screenshot control

# ── Memory / Vector DB ─────────────────────────────────────────────────
chromadb>=0.4.0         # Vector store for long-term memory

# ── Utilities ───────────────────────────────────────────────────────────
python-dotenv>=1.0.0    # Load .env files for API keys
watchdog>=4.0.0         # Folder watcher for auto-ingestion
schedule>=1.2.0         # Task scheduling for agents
rich>=13.0.0            # Pretty terminal output
click>=8.1.0            # CLI interface
beautifulsoup4>=4.12.0  # HTML parsing for web tools
lxml>=5.0.0             # Fast XML/HTML parser

# ── Optional ────────────────────────────────────────────────────────────
# pdfminer.six>=20221105  # Alternative PDF library (faster extraction)
# playwright>=1.44.0      # Browser automation (Chrome, Firefox)
# pywin32>=306            # Windows COM automation (Outlook, Excel)
# pyperclip>=1.8.0        # Cross-platform clipboard
